Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"Johannesburg Park Station, Rissik Street,Joubert Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Shop M3, M5, M7 And M14, Johannesburg Park Station, Rissik Street,Joubert Park,Joubert Park",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Shop F12A, cnr King George and De Villiers Street,Joubert Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"15 Wellington Building, Cnr St. Davids Place And Girton Road,Parktown,Parktown",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Claim and Kotze Street,Hillbrow,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"St Davids Place,Parktown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"187 Bree Street,Johannesburg Central,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Klein, Plein and Twist Streets,Joubert Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Klein, Plein and Twist Streets,Joubert Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Claim and Caroline Street,Hillbrow,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"89 Plein Street,Joubert Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Loveday Street,Johannesburg Central,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Marble Towers, Von Wielligh Street,Johannesburg Central,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
